Feature,Importance
Segment_Encoded,0.57828987
ActiveDays,0.05047032
ActiveMonths,0.037925195
MinPrice,0.028537814
TotalRevenue,0.020307316
TotalOrders,0.019257901
Monetary,0.016315125
OrdersPerMonth,0.015041159
Frequency,0.014050473
MinRevenue,0.012915827
MaxPrice,0.011979602
StdHour,0.0117896125
TotalQuantity,0.011563272
StdQuantity,0.011116856
UniqueDescriptions,0.01101977
MaxRevenue,0.010981779
AvgQuantity,0.010917316
RevenueRange,0.010545565
AvgHour,0.010528345
ProductDiversity,0.01037052
StdRevenue,0.010260525
AvgOrderValue,0.010204496
Country_Encoded,0.010087528
AvgPrice,0.009663069
UniqueProducts,0.009570535
StdPrice,0.00953776
PreferredDay,0.009345882
AvgItemsPerOrder,0.009294323
AvgRevenue,0.009091852
PriceRange,0.009020407
