K,WCSS,Silhouette,Calinski_Harabasz,Davies_Bouldin
2,8588.985343295877,0.4386023012270002,6187.991629691131,0.8726692505972531
3,6354.343153426074,0.3477454491034673,5214.616459413658,1.0361423427288592
4,4921.2333452738085,0.3649707840057234,5058.066105424444,0.9298775351487724
5,4099.106078778311,0.3424961358761568,4848.227295682262,0.949741359857339
6,3554.6962688609824,0.3347964327358149,4651.569292002447,0.9638936982585973
7,3194.5009715515394,0.30663604807644523,4422.946128459341,0.9805360244080068
8,2902.433884952623,0.3033153691690236,4256.431855073276,0.986321855475463
9,2656.5623279084402,0.29252387787540013,4136.222871674795,0.9995863270669797
10,2467.3784663539077,0.29052511584322954,4007.7852828531604,1.0020657073785073
